date,impressions,clicks,conversions,cost,total_conversion_value,average_position,reservations,price
2015-08-01,21,2,0,2.28,0.0,2.2380952381,5,13115.0
2015-08-02,69,18,0,25.67,0.0,1.75797101449,8,13240.0
2015-08-03,67,16,0,14.99,0.0,1.51492537313,22,38820.0
2015-08-04,62,10,0,24.23,0.0,1.65322580645,16,40344.0
2015-08-05,54,10,0,18.85,0.0,1.55555555556,27,43584.0
2015-08-06,78,21,1,52.81,1190.0,1.74871794872,15,17300.0
2015-08-07,60,13,0,23.66,0.0,1.445,18,27971.0
2015-08-08,49,12,0,18.22,0.0,1.97959183673,9,14775.0
2015-08-09,33,6,0,10.31,0.0,1.39090909091,19,29270.0
2015-08-10,61,5,0,11.0,0.0,1.52786885246,18,26271.0
2015-08-11,65,16,0,34.02,0.0,1.48461538462,12,19955.0
2015-08-12,75,19,1,37.2,4520.0,1.648,13,22275.0
2015-08-13,80,18,0,26.59,0.0,1.62375,21,27189.0
2015-08-14,72,12,0,12.42,0.0,1.44166666667,74,134556.0
2015-08-15,58,12,0,11.57,0.0,1.68620689655,7,10180.0
2015-08-16,39,6,0,4.73,0.0,1.90769230769,7,18020.0
2015-08-17,80,13,1,17.47,3580.0,1.47875,15,28110.0
2015-08-18,93,18,0,42.19,0.0,1.60107526882,16,26808.0
2015-08-19,89,21,1,48.71,3880.0,1.5202247191,18,27223.0
2015-08-20,77,14,0,32.2,0.0,1.64285714286,25,47670.0
2015-08-21,82,26,0,37.31,0.0,1.9256097561,14,19860.0
2015-08-22,54,11,1,13.66,1690.0,1.29814814815,5,4715.0
2015-08-23,32,10,0,19.6,0.0,1.3375,5,9975.0
2015-08-24,71,16,0,26.86,0.0,1.60845070423,58,86725.0
2015-08-25,106,34,1,77.77,2380.0,1.72169811321,29,50799.0
2015-08-26,69,15,0,24.32,0.0,1.86811594203,38,63310.0
2015-08-27,76,17,0,31.19,0.0,1.76710526316,31,38125.0
2015-08-28,54,16,0,27.16,0.0,1.45,11,10660.0
2015-08-29,56,13,0,25.17,0.0,1.58928571429,6,13744.0
2015-08-30,24,9,0,17.02,0.0,1.58333333333,13,16800.0
2015-08-31,60,16,0,28.23,0.0,1.52333333333,6,4160.0
2015-09-01,56,16,0,30.69,0.0,1.69821428571,10,14258.0
2015-09-02,70,16,0,25.05,0.0,1.44571428571,16,24523.0
2015-09-03,59,12,0,22.68,0.0,1.94915254237,30,80949.0
2015-09-04,71,20,0,55.24,0.0,1.55211267606,50,86335.0
2015-09-05,46,12,0,32.31,0.0,1.4347826087,7,9180.0
2015-09-06,50,8,0,25.93,0.0,1.7,9,14720.0
2015-09-07,64,19,0,22.65,0.0,1.5703125,38,43418.0
2015-09-08,59,16,0,28.81,0.0,1.5,18,33239.0
2015-09-09,52,13,0,32.63,0.0,1.59230769231,20,20096.0
2015-09-10,66,13,0,23.11,0.0,1.41212121212,31,39787.0
2015-09-11,83,25,0,61.87,0.0,1.43855421687,13,12140.0
2015-09-12,25,6,0,6.21,0.0,1.484,1,1325.0
2015-09-13,29,12,0,35.67,0.0,1.47931034483,1,800.0
2015-09-14,56,15,1,34.49,1190.0,1.52142857143,44,81913.0
2015-09-15,45,9,0,17.9,0.0,1.46666666667,20,37381.0
2015-09-16,65,15,0,29.69,0.0,1.69384615385,50,53395.0
2015-09-17,83,22,0,64.11,0.0,1.54337349398,3,4619.0
2015-09-18,83,24,0,45.89,0.0,1.72891566265,6,11468.0
2015-09-19,40,14,0,34.36,0.0,1.5025,14,29113.0
2015-09-20,42,12,1,44.98,4500.0,1.36666666667,5,14548.0
2015-09-21,68,23,2,58.85,3570.0,1.49705882353,32,118300.0
2015-09-22,88,23,0,57.47,0.0,1.55568181818,14,12009.0
2015-09-23,80,21,0,38.86,0.0,1.68625,12,13070.0
2015-09-24,43,14,1,34.09,9600.0,1.6,6,14040.0
2015-09-25,69,25,0,45.87,0.0,1.4231884058,27,40186.0
2015-09-26,41,13,0,35.96,0.0,1.44146341463,7,11789.0
2015-09-27,44,12,0,30.82,0.0,1.55227272727,1,0.0
2015-09-28,25,10,0,25.3,0.0,1.884,40,59979.0
2015-09-29,53,10,0,28.87,0.0,1.48490566038,24,28270.0
2015-09-30,60,20,0,43.39,0.0,1.38833333333,22,56008.0
2015-10-01,42,18,1,39.27,1190.0,1.48095238095,8,15130.0
2015-10-02,45,24,0,60.56,0.0,1.14,7,6804.0
2015-10-03,33,11,0,25.26,0.0,1.64242424242,8,13966.0
2015-10-04,33,14,0,22.7,0.0,1.34848484848,4,5540.0
2015-10-05,61,20,1,42.59,2060.0,1.6868852459,28,36856.0
2015-10-06,69,30,0,70.66,0.0,1.52898550725,113,147582.0
2015-10-07,60,27,0,54.32,0.0,1.38666666667,8,14100.0
2015-10-08,56,15,1,25.1,4380.0,1.45535714286,14,20371.0
2015-10-09,44,17,0,33.66,0.0,1.65454545455,5,8700.0
2015-10-10,44,9,1,19.76,3780.0,1.75,4,18810.0
2015-10-11,59,24,0,97.49,0.0,1.50169491525,6,12749.0
2015-10-12,59,15,0,30.07,0.0,1.73728813559,11,26899.0
2015-10-13,65,22,0,25.98,0.0,1.35230769231,13,15570.0
2015-10-14,115,12,0,22.2,0.0,2.24347826087,15,24431.0
2015-10-15,66,22,0,54.15,0.0,1.52878787879,33,56265.0
2015-10-16,91,28,1,45.77,1190.0,1.7,47,46008.0
2015-10-17,47,18,0,47.09,0.0,1.71063829787,9,14702.0
2015-10-18,61,15,0,38.26,0.0,1.58524590164,5,7055.0
2015-10-19,43,16,2,30.8,9320.0,1.41395348837,14,30556.0
2015-10-20,66,27,0,64.27,0.0,1.35757575758,17,33647.0
2015-10-21,55,15,0,29.33,0.0,1.69636363636,36,43698.0
2015-10-22,68,23,0,56.74,0.0,1.49117647059,20,35204.0
2015-10-23,59,22,0,40.07,0.0,1.52542372881,15,19150.0
2015-10-24,47,15,0,36.69,0.0,1.46808510638,6,7315.0
2015-10-25,46,15,1,44.11,2380.0,1.76739130435,6,9970.0
2015-10-26,73,19,0,29.33,0.0,1.74657534247,18,34308.0
2015-10-27,83,28,0,73.85,0.0,1.63012048193,8,9998.0
2015-10-28,53,23,0,46.26,0.0,1.38301886792,8,9117.0
2015-10-29,87,26,0,44.46,0.0,1.32068965517,54,201630.0
2015-10-30,81,25,0,43.6,0.0,1.36419753086,10,12168.0
2015-10-31,36,18,1,42.51,1390.0,1.41111111111,2,3144.0
2015-11-01,48,14,0,37.13,0.0,1.31458333333,6,5800.0
2015-11-02,81,22,0,50.37,0.0,1.59259259259,13,22476.0
2015-11-03,54,12,0,21.58,0.0,1.62777777778,40,37054.0
2015-11-04,73,20,0,36.36,0.0,1.73287671233,10,17878.0
2015-11-05,52,14,0,30.43,0.0,1.85192307692,4,12105.0
2015-11-06,66,24,0,43.35,0.0,1.50454545455,21,44996.0
2015-11-07,39,8,0,11.3,0.0,1.87692307692,2,2885.0
2015-11-08,39,13,1,39.17,3570.0,1.62820512821,1,3570.0
2015-11-09,63,23,0,46.08,0.0,1.48888888889,39,97728.0
2015-11-10,61,21,1,45.92,4760.0,1.62295081967,10,23005.0
2015-11-11,82,22,1,62.31,1490.0,1.56829268293,25,56767.0
2015-11-12,53,15,0,38.52,0.0,1.6320754717,12,20548.0
2015-11-13,62,21,1,51.93,1190.0,1.71935483871,7,10054.0
2015-11-14,44,7,1,16.21,1190.0,1.34318181818,1,1190.0
2015-11-15,45,18,0,46.98,0.0,1.40888888889,9,11760.0
2015-11-16,66,15,0,38.98,0.0,1.48484848485,17,26858.0
2015-11-17,59,15,0,45.02,0.0,1.43898305085,4,10060.0
2015-11-18,72,20,2,60.6,4070.0,1.56388888889,13,21819.0
2015-11-19,88,36,0,106.22,0.0,1.29318181818,14,20848.0
2015-11-20,65,17,0,50.16,0.0,1.57230769231,7,8976.0
2015-11-21,56,11,1,40.92,4520.0,1.53928571429,4,10655.0
2015-11-22,56,19,1,77.89,3820.0,1.59821428571,1,4987.0
2015-11-23,62,17,1,43.46,870.0,1.94677419355,30,57842.0
2015-11-24,65,17,1,38.23,2980.0,1.70153846154,15,15638.0
2015-11-25,60,21,0,52.77,0.0,1.22333333333,5,10978.0
2015-11-26,61,21,2,43.51,6160.0,1.47540983607,54,103737.0
2015-11-27,57,16,1,37.76,1490.0,1.56315789474,8,12144.0
2015-11-28,31,12,0,27.38,0.0,1.15806451613,3,4350.0
2015-11-29,37,6,0,10.62,0.0,1.41081081081,4,4660.0
2015-11-30,63,18,0,45.38,0.0,1.44920634921,15,23814.0
2015-12-01,75,20,0,64.7,0.0,1.67466666667,20,24068.14
2015-12-02,46,17,0,50.53,0.0,1.42391304348,27,45649.0
2015-12-03,50,19,0,51.98,0.0,1.354,9,13753.0
2015-12-04,48,19,0,50.34,0.0,1.17083333333,11,13513.0
2015-12-05,40,12,0,25.17,0.0,1.6125,3,3870.0
2015-12-06,48,14,1,39.72,1190.0,1.51666666667,3,5009.0
2015-12-07,55,18,1,36.57,3378.0,1.31090909091,14,25681.62
2015-12-08,74,21,0,52.46,0.0,1.62297297297,17,22479.0
2015-12-09,43,12,0,24.51,0.0,1.53720930233,22,29580.0
2015-12-10,55,14,1,30.05,4380.0,1.36,37,44807.0
2015-12-11,57,24,0,49.68,0.0,1.32456140351,14,18960.0
2015-12-12,37,10,0,26.2,0.0,1.34864864865,2,7439.0
2015-12-13,43,11,0,25.73,0.0,1.63488372093,2,4594.0
2015-12-14,96,36,1,87.3,1190.0,1.28854166667,24,14237.0
2015-12-15,84,30,0,66.06,0.0,1.39642857143,25,26226.0
2015-12-16,66,24,0,48.83,0.0,1.75606060606,30,25341.0
2015-12-17,60,18,0,44.64,0.0,1.23833333333,23,57284.0
2015-12-18,75,26,0,65.03,0.0,1.492,6,6900.0
2015-12-19,38,13,0,26.8,0.0,1.40263157895,18,39788.0
2015-12-20,42,12,1,32.69,2380.0,1.39047619048,4,5080.0
2015-12-21,42,7,0,27.47,0.0,1.24285714286,10,14776.0
2015-12-22,64,20,0,46.66,0.0,1.55,7,9833.0
2015-12-23,51,21,0,49.41,0.0,1.23921568627,7,8266.14
2015-12-24,30,9,0,21.84,0.0,1.24666666667,1,1100.0
2015-12-25,51,15,0,47.06,0.0,1.29411764706,6,14290.0
2015-12-26,43,10,0,26.39,0.0,1.58837209302,12,19179.53
2015-12-27,56,18,0,59.31,0.0,1.78571428571,8,15901.81
2015-12-28,63,16,0,38.65,0.0,1.53968253968,19,23042.0
2015-12-29,72,28,0,66.36,0.0,1.45972222222,17,22298.0
2015-12-30,57,22,0,49.07,0.0,1.57719298246,12,68658.0
2015-12-31,37,11,0,29.33,0.0,1.44054054054,1,1100.0
2016-01-01,40,10,0,24.99,0.0,1.6525,2,3480.0
2016-01-02,40,6,0,19.64,0.0,1.555,2,3149.0
2016-01-03,43,12,0,45.23,0.0,1.57209302326,6,5860.0
2016-01-04,49,19,0,47.18,0.0,1.63469387755,17,21038.0
2016-01-05,38,18,0,42.22,0.0,1.26315789474,15,18802.0
2016-01-06,60,17,0,37.93,0.0,1.53666666667,52,143140.0
2016-01-07,68,17,1,46.4,7600.0,1.55,13,21050.0
2016-01-08,52,15,0,48.38,0.0,1.30961538462,39,71900.0
2016-01-09,34,12,0,37.35,0.0,1.46764705882,14,21964.0
2016-01-10,27,7,0,19.62,0.0,1.3,10,21035.0
2016-01-11,50,15,1,36.23,1190.0,1.558,29,69301.0
2016-01-12,58,18,0,41.41,0.0,1.50862068966,8,8171.0
2016-01-13,57,26,1,74.04,3180.0,1.61578947368,35,48812.0
2016-01-14,42,9,0,25.56,0.0,1.63571428571,25,47945.0
2016-01-15,44,17,0,38.69,0.0,1.38863636364,8,9715.0
2016-01-16,64,21,0,49.76,0.0,1.459375,4,6858.0
2016-01-17,49,15,1,45.93,5858.0,1.51428571429,4,9538.0
2016-01-18,62,19,0,49.86,0.0,1.50161290323,36,68381.0
2016-01-19,74,31,3,74.05,13640.0,1.83108108108,15,37156.0
2016-01-20,48,21,0,48.29,0.0,1.75208333333,17,31130.0
2016-01-21,48,15,1,32.59,2380.0,1.44791666667,25,30637.0
2016-01-22,56,21,0,55.08,0.0,1.375,7,15888.0
2016-01-23,51,21,2,59.1,3250.0,1.56470588235,26,52338.0
2016-01-24,39,16,0,54.81,0.0,1.50256410256,31,54312.0
2016-01-25,91,27,1,84.09,870.0,1.53406593407,20,20060.0
2016-01-26,64,14,0,33.49,0.0,2.0453125,20,32338.0
2016-01-27,60,19,1,50.79,2990.0,1.35333333333,37,56127.0
2016-01-28,78,25,0,47.43,0.0,1.39871794872,19,54731.0
2016-01-29,84,23,2,43.72,4180.0,1.34642857143,10,20978.0
2016-01-30,62,17,0,39.62,0.0,1.87419354839,11,17886.14
2016-01-31,53,11,3,20.62,9760.0,1.68490566038,10,12790.0
2016-02-01,99,25,1,52.82,1190.0,1.59595959596,39,64258.0
2016-02-02,97,31,2,87.09,2991.0,2.01340206186,42,75986.0
